PartNo,pollingStation,NTKVotes2019,TotalVotes,PolledVotes,NTKpercentage,BoothAdress,Panchayat,UnionBlocks,Hamlets,Male,Female,TotalVotes,ThirdGender,MainTownOrVillage ,Mandalam ,Birga ,PoliceStation,Taluk ,District,Pincode,PageNo ,Thoguthi ,Status ,OverlapPartNo ,Scope 
210-49,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, தினைக்காத்தான்வயல்",19,976,582,3.3,,குஞ்சங்குளம்,திருவாடனை ,"தினைக்காத்தான்வயல்(வார்டு 1)
கண்ணன் புஞ்சை(வார்டு 1)
சீந்திவயல்(வார்டு 3)
கீழக்கோட்டை(வார்டு 3)
மாவிலங்கை(வார்டு 3)",528,448,976,,சிறுமலைக்கோட்டை ,சிறுமலைக்கோட்டை ,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,38,210,,,
210-50,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, குஞ்சங்குளம் (வடக்குப்பகுதி)",24,736,485,4.9,,குஞ்சங்குளம்,திருவாடனை ,"குஞ்சங்குளம் (வார்டு 3)
வௌயிங்குடி(வார்டு 2)",388,348,736,,குஞ்சங்குளம்,சிறுமலைக்கோட்டை ,மங்களக்குடி ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623308,29,210,,,
210-51,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, அஞ்சுக்கோட்டை
",30,598,420,7.1,தெற்குக் கட்டிடம் - கிழக்குப்பகுதி,அஞ்சுக்கோட்டை,திருவாடனை ,"அஞ்சுக்கோட்டை (வார்டு 1)
சுப்பிரமணியபுரம் (வார்டு 2)
சீவலாதி (வார்டு 1)",318,280,598,,அஞ்சுக்கோட்டை,அஞ்சுக்கோட்டை,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,26,210,,,
210-52,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, அழகமடை",17,505,373,4.6,,அஞ்சுக்கோட்டை,திருவாடனை ,"அழகமடை (வார்டு 4)
செங்கமடை (வார்டு 4)",258,247,505,,அஞ்சுக்கோட்டை,அஞ்சுக்கோட்டை,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,21,210,,,
210-53,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, அஞ்சுக்கோட்டை",55,772,582,9.5,மேற்குக் கட்டிடம் - தெற்குப் பகுதி,அஞ்சுக்கோட்டை,திருவாடனை ,"சின்ன அஞ்சுக் கோட்டை (1 வது வார்டு)
வானியேந்தல் (2 வது வார்டு)
மேலவயல்",404,368,772,,சின்ன அஞ்சுக் கோட்டை,அஞ்சுக்கோட்டை,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,30,210,,,
210-54,"ஊராட்சி ஒன்றிய நடுநிலைப்பள்ளி, அஞ்சுக்கோட்டை",70,643,448,15.6,மேற்குக் கட்டிடம் - வடக்குப் பகுதி,அஞ்சுக்கோட்டை,திருவாடனை ,"பொட்டக்கோட்டை (வார்டு 3)
கரையக்கோட்டை (வார்டு 3)",316,327,643,,மேலவயல் ,அஞ்சுக்கோட்டை,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,25,210,,,
210-55,புனித மரியன்னை நடுநிலைப்பள்ளி ஓரிக்கோட்டை,32,902,526,6.1,கிழக்குப்பகுதி,டி.நாகனி ,திருவாடனை ,"பூவாணி(வார்டு 2)
நாகனி(வார்டு 3)
நாகனி(வார்டு 3)",453,449,902,,டி.நாகனி ,டி.நாகனி ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,35,210,,,
210-56,புனித மரியன்னை நடுநிலைப்பள்ளி ஓரிக்கோட்டை,23,625,382,6,மேற்குப் பகுதி,ஓரிக்கோட்டை ,திருவாடனை ,ஓரிக்கோட்டை(வார்டு 1),300,325,625,,ஓரிக்கோட்டை,ஓரிக்கோட்டை,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,25,210,,,
210-57,"ரோமன் கத்தோலிக்க தொடக்கப்பள்ளி, சின்னகீரமங்களம்",50,1036,726,6.9,கிழக்குபகுதி,பெரியகீரமங்களம்,திருவாடனை ,"அரசூர்
நார்கனியேந்தல்
பாரூர்",564,472,1036,,அரசூர்,அரசூர்,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,39,210,,,
210-58,"ரோமன் கத்தோலிக்க தொடக்கப்பள்ளி, சின்னகீரமங்களம்",14,458,331,4.2,நடுப்பகுதி,பெரியகீரமங்களம்,திருவாடனை ,"சேந்தனி
சீ.கே.மங்களம்(தொண்டி ரோடு
இராமநாதபுரம் ரோடு(மேற்கு)",237,221,458,,அரசூர்,அரசூர்,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,20,210,,,
210-59,"ரோமன் கத்தோலிக்க தொடக்கப்பள்ளி, சின்னகீரமங்களம்",27,785,485,5.6,மேற்குப்பகுதி,பெரியகீரமங்களம்,திருவாடனை ,சின்னகீரமங்கலம்(வார்டு 2),411,374,785,,சின்னகீரமங்கலம்,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,30,210,,,
210-60,"ரோமன் கத்தோலிக்க தொடக்கப்பள்ளி, சின்னகீரமங்களம்",5,484,338,1.5,மேற்குப்பகுதி-2,பெரியகீரமங்களம்,திருவாடனை ,"பெரியகீரமங்கலம்(வார்டு 3)
பெரியகீரமங்கலம்(வார்டு 3)",241,243,484,,பெரியகீரமங்களம்,அரசூர்,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,20,210,,,
210-61,"ஊராட்சி ஒன்றிய தொடக்கப் பள்ளி, கல்லூர்",43,1084,743,5.8,கிழக்குப்பகுதி,கல்லூர்,திருவாடனை ,கல்லூர் (வார்டு 1),570,513,1084,1,கல்லூர்,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,40,210,,,
210-62,"ஊராட்சி ஒன்றிய தொடக்கப் பள்ளி, கல்லூர்",3,337,244,1.2,மேற்குப்பகுதி,கல்லூர்,திருவாடனை ,"கோனேரிக்கோட்டை (வார்டு 3)
மணிகண்டி (வார்டு 4)",176,161,337,,கல்லூர்,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,15,210,,,
210-63,"ஊராட்சி ஒன்றிய தொடக்கப் பள்ளி, கல்லூர்",26,937,655,4,புதுக்கட்டிடம்,கல்லூர்,திருவாடனை ,"சந்திராக்கோட்டை வார்டு 4
திருவிடமதியூர் வார்டு 4
கிளவண்டி வார்டு 2
கொட்டாங்குடி வார்டு 2
இளமணி வார்டு 2
மாங்குடி வார்டு 1",490,447,937,,இளமனி ,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623402,37,210,,,
210-64,"அரசு மேல்நிலைப்பள்ளி,  திருவாடானை",33,771,503,6.6,வடக்குக்கட்டிடம் (மேற்குப்பகுதி),திருவாடானை,திருவாடனை ,"பிடாரி கோவில் தெரு வார்டு 1
வடக்கு தெரு வார்டு 1
எல்.கே.நகர் வார்டு 1
அண்ணா நகர் வார்டு 1
கிழக்குதெரு வார்டு 3",368,403,771,,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,31,210,,,
210-65,"அரசு மேல்நிலைப்பள்ளி,  திருவாடானை",25,663,430,5.8,மேற்குக் கட்டிடம் - வடக்குப் பகுதி),திருவாடானை,திருவாடனை ,"போலீஸ்குடியிருப்பு வார்டு 3
சினேகவள்ளிபுரம் பகுதி 1 வார்டு 3
சினேகவள்ளிபுரம் பகுதி 2 வார்டு 3",333,330,663,,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,26,210,,,
210-66,"அரசு மேல்நிலைப்பள்ளி,  திருவாடானை",16,582,451,3.5,தெற்குப்பக்கம் - மேற்குக் கட்டிடம்,திருவாடானை,திருவாடனை ,"சன்னதிதெரு(வார்டு 2)
வர்ணதீர்த்தவடகரை(வார்டு 2)
வர்ணதீர்த்த மேற்கு(வார்டு 2)
தெற்கு தெரு(வார்டு 2)
மேற்கு தெரு(வார்டு 2)",289,293,582,,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,26,210,,,
210-67,"அரசு மேல்நிலைப்பள்ளி,  திருவாடானை",21,723,509,4.1,வடக்குப்பகுதி,கல்லூர்,திருவாடனை ,சூச்சனி,360,363,723,,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,28,210,,,
210-68,"அரசு மேல்நிலைப்பள்ளி,  திருவாடானை",22,1104,699,3.1,தெற்குப்பகுதி,கல்லூர்,திருவாடனை ,"பண்ணவயல்
சமத்துவபுரம்",512,591,1104,1,பண்ணவயல்,திருவாடனை ,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,,210,,,
210-69,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, (வடக்கு பகுதி) டி.கிளியூர்",33,1187,746,4.4,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, (வடக்கு பகுதி) டி.கிளியூர்",கோடனூர்,திருவாடனை ,"பிள்ளையாரேந்தல் (வார்டு 1, 2)
சேமனிவயல் (வார்டு 3)
மாதவன்கோட்டை (வார்டு 4)
கிளியூர் (வார்டு 5)
பொண்னகுறிச்சி (வார்டு 6)",572,615,1187,,கிளியூர்,கிளியூர்,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,44,210,,,
210-70,"சமுதாயக்கூடம், தெற்கு பகுதி, டி.கிளியூர்.",17,528,368,4.6,"சமுதாயக்கூடம், தெற்கு பகுதி, டி.கிளியூர்.",கோடனூர்,திருவாடனை ,"காட்டியனேந்தல் வார்டு 1
கோடனூர் வார்டு 1",264,264,528,,கோடனூர்,கிளியூர்,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623407,22,210,,,
210-71,"ஊராட்சி ஒன்றிய தொடக்கப்பள்ளி, பாண்டுகுடி",42,1163,661,6.4,(பழைய கட்டிடம்),பாண்டுகுடி,திருவாடனை ,"பாண்டுகுடி (வார்டு 1)
பாண்டுகுடி (வார்டு 1)
பாண்டுகுடி (வார்டு 1)
பாண்டுகுடி வார்டு 1
பாண்டுகுடி(வார்டு 1)",585,578,1163,,பாண்டுகுடி,பாண்டுகுடி,திருவாடனை ,திருவாடனை ,திருவாடனை ,இராமநாதபுரம் ,623404,42,210,,,
